['248.70', 'Aug 14, 14:53', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 14:53', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 14:53', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.45', 'Aug 14, 14:59', ' -0.1 (-0.04%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.45', 'Aug 14, 14:59', ' -0.1 (-0.04%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.45', 'Aug 14, 14:59', ' -0.1 (-0.04%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.70', 'Aug 14, 15:02', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:02', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 15:11', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 15:11', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.60', 'Aug 14, 15:11', ' 0.05 (0.02%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.75', 'Aug 14, 15:17', ' 0.2 (0.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.75', 'Aug 14, 15:17', ' 0.2 (0.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.75', 'Aug 14, 15:17', ' 0.2 (0.08%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.80', 'Aug 14, 15:22', ' 0.25 (0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.80', 'Aug 14, 15:22', ' 0.25 (0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.80', 'Aug 14, 15:22', ' 0.25 (0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.15', 'Aug 14, 15:28', ' -0.4 (-0.16%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.15', 'Aug 14, 15:28', ' -0.4 (-0.16%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.15', 'Aug 14, 15:28', ' -0.4 (-0.16%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 15:30', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 15:30', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 15:30', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 15:32', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.30', 'Aug 14, 15:32', ' -0.25 (-0.1%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/red_arrow.jpg']
['248.70', 'Aug 14, 15:41', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:41', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:41', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:45', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:45', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:45', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:52', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:52', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:52', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']
['248.70', 'Aug 14, 15:56', ' 0.15 (0.06%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg']

['266.05', 'Aug 20, 10:54', ' 8.7 (3.38%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.80', 'Aug 20, 10:59', ' 8.45 (3.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.60', 'Aug 20, 11:04', ' 8.25 (3.21%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['266.20', 'Aug 20, 11:14', ' 8.85 (3.44%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['266.20', 'Aug 20, 11:14', ' 8.85 (3.44%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['266.10', 'Aug 20, 11:24', ' 8.75 (3.4%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['266.10', 'Aug 20, 11:24', ' 8.75 (3.4%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.75', 'Aug 20, 11:34', ' 8.4 (3.26%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.75', 'Aug 20, 11:34', ' 8.4 (3.26%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.75', 'Aug 20, 11:44', ' 8.4 (3.26%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.80', 'Aug 20, 11:46', ' 8.45 (3.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.80', 'Aug 20, 11:54', ' 8.45 (3.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['265.80', 'Aug 20, 11:54', ' 8.45 (3.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['267.50', 'Aug 20, 12:00', ' 10.15 (3.94%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['267.05', 'Aug 20, 12:06', ' 9.7 (3.77%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['267.25', 'Aug 20, 12:14', ' 9.9 (3.85%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['267.55', 'Aug 20, 12:18', ' 10.2 (3.96%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.00', 'Aug 20, 12:24', ' 11.65 (4.53%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.30', 'Aug 20, 12:28', ' 11.95 (4.64%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.90', 'Aug 20, 12:31', ' 12.55 (4.88%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['269.95', 'Aug 20, 12:36', ' 12.6 (4.9%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
['270.95', 'Aug 20, 12:40', ' 13.6 (5.28%)', 'https://img-d05.moneycontrol.co.in/images/pricechart/new/grn_arrow.jpg', 'Tata']
